state,code,total exports,beef,pork,poultry,dairy,fruits fresh,fruits proc,total fruits,veggies fresh,veggies proc,total veggies,corn,wheat,cotton,description
Alabama,AL,1390.63,34.4,10.6,481,4.06,8,17.1,25.11,5.5,8.9,14.33,34.9,70,317.61,Alabama<br>Beef 34.4 Dairy 4.06<br>Fruits 25.11 Veggies 14.33<br>Wheat 70.0 Corn 34.9
Alaska,AK,13.31,0.2,0.1,0,0.19,0,0,0,0.6,1,1.56,0,0,0,Alaska<br>Beef 0.2 Dairy 0.19<br>Fruits 0.0 Veggies 1.56<br>Wheat 0.0 Corn 0.0
Arizona,AZ,1463.17,71.3,17.9,0,105.48,19.3,41,60.27,147.5,239.4,386.91,7.3,48.7,423.95,Arizona<br>Beef 71.3 Dairy 105.48<br>Fruits 60.27 Veggies 386.91<br>Wheat 48.7 Corn 7.3
Arkansas,AR,3586.02,53.2,29.4,562.9,3.53,2.2,4.7,6.88,4.4,7.1,11.45,69.5,114.5,665.44,Arkansas<br>Beef 53.2 Dairy 3.53<br>Fruits 6.88 Veggies 11.45<br>Wheat 114.5 Corn 69.5
California,CA,16472.88,228.7,11.1,225.4,929.95,2791.8,5944.6,8736.4,803.2,1303.5,2106.79,34.6,249.3,1064.95, California<br>Beef 228.7 Dairy 929.95<br>Fruits 8736.4 Veggies 2106.79<br>Wheat 249.3 Corn 34.6
Colorado,CO,1851.33,261.4,66,14,71.94,5.7,12.2,17.99,45.1,73.2,118.27,183.2,400.5,0,Colorado<br>Beef 261.4 Dairy 71.94<br>Fruits 17.99 Veggies 118.27<br>Wheat 400.5 Corn 183.2
Connecticut,CT,259.62,1.1,0.1,6.9,9.49,4.2,8.9,13.1,4.3,6.9,11.16,0,0,0,Connecticut<br>Beef 1.1 Dairy 9.49<br>Fruits 13.1 Veggies 11.16<br>Wheat 0.0 Corn 0.0
Delaware,DE,282.19,0.4,0.6,114.7,2.3,0.5,1,1.53,7.6,12.4,20.03,26.9,22.9,0,Delaware<br>Beef 0.4 Dairy 2.3<br>Fruits 1.53 Veggies 20.03<br>Wheat 22.9 Corn 26.9
Florida,FL,3764.09,42.6,0.9,56.9,66.31,438.2,933.1,1371.36,171.9,279,450.86,3.5,1.8,78.24,Florida<br>Beef 42.6 Dairy 66.31<br>Fruits 1371.36 Veggies 450.86<br>Wheat 1.8 Corn 3.5
Georgia,GA,2860.84,31,18.9,630.4,38.38,74.6,158.9,233.51,59,95.8,154.77,57.8,65.4,1154.07,Georgia<br>Beef 31.0 Dairy 38.38<br>Fruits 233.51 Veggies 154.77<br>Wheat 65.4 Corn 57.8
Hawaii,HI,401.84,4,0.7,1.3,1.16,17.7,37.8,55.51,9.5,15.4,24.83,0,0,0,Hawaii<br>Beef 4.0 Dairy 1.16<br>Fruits 55.51 Veggies 24.83<br>Wheat 0.0 Corn 0.0
Idaho,ID,2078.89,119.8,0,2.4,294.6,6.9,14.7,21.64,121.7,197.5,319.19,24,568.2,0,Idaho<br>Beef 119.8 Dairy 294.6<br>Fruits 21.64 Veggies 319.19<br>Wheat 568.2 Corn 24.0
Illinois,IL,8709.48,53.7,394,14,45.82,4,8.5,12.53,15.2,24.7,39.95,2228.5,223.8,0,Illinois<br>Beef 53.7 Dairy 45.82<br>Fruits 12.53 Veggies 39.95<br>Wheat 223.8 Corn 2228.5
Indiana,IN,5050.23,21.9,341.9,165.6,89.7,4.1,8.8,12.98,14.4,23.4,37.89,1123.2,114,0,Indiana<br>Beef 21.9 Dairy 89.7<br>Fruits 12.98 Veggies 37.89<br>Wheat 114.0 Corn 1123.2
Iowa,IA,11273.76,289.8,1895.6,155.6,107,1,2.2,3.24,2.7,4.4,7.1,2529.8,3.1,0,Iowa<br>Beef 289.8 Dairy 107.0<br>Fruits 3.24 Veggies 7.1<br>Wheat 3.1 Corn 2529.8
Kansas,KS,4589.01,659.3,179.4,6.4,65.45,1,2.1,3.11,3.6,5.8,9.32,457.3,1426.5,43.98,Kansas<br>Beef 659.3 Dairy 65.45<br>Fruits 3.11 Veggies 9.32<br>Wheat 1426.5 Corn 457.3
Kentucky,KY,1889.15,54.8,34.2,151.3,28.27,2.1,4.5,6.6,0,0,0,179.1,149.3,0,Kentucky<br>Beef 54.8 Dairy 28.27<br>Fruits 6.6 Veggies 0.0<br>Wheat 149.3 Corn 179.1
Louisiana,LA,1914.23,19.8,0.8,77.2,6.02,5.7,12.1,17.83,6.6,10.7,17.25,91.4,78.7,280.42,Louisiana<br>Beef 19.8 Dairy 6.02<br>Fruits 17.83 Veggies 17.25<br>Wheat 78.7 Corn 91.4
Maine,ME,278.37,1.4,0.5,10.4,16.18,16.6,35.4,52.01,24,38.9,62.9,0,0,0,Maine<br>Beef 1.4 Dairy 16.18<br>Fruits 52.01 Veggies 62.9<br>Wheat 0.0 Corn 0.0
